Ea43t5noyJAMLHpux9TfaTFv6wKsLnVqyDmJ87qtUCmy,100,KAFE
5uKXYaHes21BoBN3EcNDf13EFqUybzirLwSUfSF218As,100,KAFE
9Gaovv3PatKvTLUDLLMqCj2CYaB4rAnXm4nziVfmjovT,100,KAFE
9c8oxENj8XrEM2EMadxUoifZgB1Vbc8GEYqKTxTfPo3i,100,KAFE
B1auxYrvvhJW9Y5nE8ghZKzvX1SGZZUQTt9kALFR4uvv,100,KAFE
8JDKJA3pW7xbxGKkRraZiQCd6nTF9MZtrBv6Ah8BNyvU,100,KAFE
CCWaJNjXSZaBdAfYZ8NEQv2v2LEPDSnFZnsfYbfzZE5F,100,KAFE
4axugB6FTQz4BzBgvVkAadXihfxBJykGq9HEeqBDKs6B,100,KAFE
HtdezEbemuLpAh9no1jp7Eezy8drWcbFuk3VPhs17bM4,100,KAFE
9CPqwQgbM3Dt6TijWPMN8XM1z3RFCjfQTdnzoUGzihQ,100,KAFE
Ea43t5noyJAMLHpux9TfaTFv6wKsLnVqyDmJ87qtUCmy,100,BDR
5uKXYaHes21BoBN3EcNDf13EFqUybzirLwSUfSF218As,100,BDR
9Gaovv3PatKvTLUDLLMqCj2CYaB4rAnXm4nziVfmjovT,100,BDR
9c8oxENj8XrEM2EMadxUoifZgB1Vbc8GEYqKTxTfPo3i,100,BDR
B1auxYrvvhJW9Y5nE8ghZKzvX1SGZZUQTt9kALFR4uvv,100,BDR
8JDKJA3pW7xbxGKkRraZiQCd6nTF9MZtrBv6Ah8BNyvU,100,BDR
CCWaJNjXSZaBdAfYZ8NEQv2v2LEPDSnFZnsfYbfzZE5F,100,BDR
4axugB6FTQz4BzBgvVkAadXihfxBJykGq9HEeqBDKs6B,100,BDR
HtdezEbemuLpAh9no1jp7Eezy8drWcbFuk3VPhs17bM4,100,BDR
9CPqwQgbM3Dt6TijWPMN8XM1z3RFCjfQTdnzoUGzihQ,100,BDR
